"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","57","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testGetArtistById","testGetArtistById()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testDeleteSong","testDeleteSong()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testUpdateSong","testUpdateSong()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","2","","when instantiated with capacity 3","","com.example.catalog.LRUCacheTest$WhenInstantiated","throwsExceptionWhenGettingNullKey","throws NullPointerException when getting a null key",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","3","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testGetAllArtists","testGetAllArtists()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","4","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testSaveAndGetAlbum","testSaveAndGetAlbum()",""
"passed","Tue Feb 18 09:15:22 GMT 2025","Tue Feb 18 09:15:23 GMT 2025","1060","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetArtistById","testGetArtistById()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","35","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetAlbumById","testGetAlbumById()",""
"skipped","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","0","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testValidId","testValidId()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","8","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testGetTracksByAlbumId","testGetTracksByAlbumId()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","3","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testSaveSong","testSaveSong()",""
"passed","Tue Feb 18 09:15:23 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","39","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetAlbumById_InvalidAlbum","testGetAlbumById_InvalidAlbum()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","4","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testUpdateArtist","testUpdateArtist()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","2","","when instantiated with capacity 3","","com.example.catalog.LRUCacheTest$WhenInstantiated","isEmpty","cache is initially empty",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","54","","com.example.catalog.HelloControllerTest","","com.example.catalog.HelloControllerTest","testHome","testHome()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","2","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testSaveArtist","testSaveArtist()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","3","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testGetAllAlbums","testGetAllAlbums()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","35","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetAlbumsByArtistId","testGetAlbumsByArtistId()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","17","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testDeleteAlbum","testDeleteAlbum()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","2","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testDeleteArtist","testDeleteArtist()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","39","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetTopSongsByArtistId","testGetTopSongsByArtistId()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testAddTrack","testAddTrack()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","8","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testGetSongById","testGetSongById()",""
"passed","Tue Feb 18 09:15:23 GMT 2025","Tue Feb 18 09:15:23 GMT 2025","35","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetTracksByAlbumId","testGetTracksByAlbumId()",""
"passed","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","7","","com.example.catalog.JSONDataSourceServiceTest","","com.example.catalog.JSONDataSourceServiceTest","testUpdateAlbum","testUpdateAlbum()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","35","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetArtistById_InvalidArtist","testGetArtistById_InvalidArtist()",""
"passed","Tue Feb 18 09:15:23 GMT 2025","Tue Feb 18 09:15:23 GMT 2025","36","","com.example.catalog.SpotifyAPIDataSourcesTest","","com.example.catalog.SpotifyAPIDataSourcesTest","testGetSongById","testGetSongById()",""
"passed","Tue Feb 18 09:15:24 GMT 2025","Tue Feb 18 09:15:24 GMT 2025","1","","after adding 2 elements","","com.example.catalog.LRUCacheTest$WhenInstantiated$AfterAdding2Elements","containsAddedElements","cache contains the added elements",""
"skipped","Tue Feb 18 09:15:25 GMT 2025","Tue Feb 18 09:15:25 GMT 2025","0","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testInvalidId","testInvalidId()",""
